Path: /HepData/1643/d1-x1-y1
Location: T 1
P : 10.1 GeV
RE : P BE --> PBAR X : P AL --> PBAR X : P CU --> PBAR X : P TA --> PBAR X
THETA(RF=LAB) : 3.5 deg
x : P(P=3) IN GEV
y : E*D3(SIG)/D3(P) IN MUB/GEV**2
xdesc	x	xlow	xhigh	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	
	1.25	1.25	1.25	18.1	+1.2670000000000001	-1.2670000000000001	38.7	+2.709	-2.709	64.9	+4.543	-4.543	86.4	+6.048000000000001	-6.048000000000001
	1.5	1.5	1.5	21.2	+1.484	-1.484	46.8	+3.276	-3.276	78.6	+5.502	-5.502	101.0	+7.07	-7.07
	1.75	1.75	1.75	25.9	+1.8130000000000002	-1.8130000000000002	47.6	+3.3320000000000003	-3.3320000000000003	67.4	+4.718	-4.718	98.5	+6.895	-6.895
	2.0	2.0	2.0	21.0	+1.47	-1.47	42.9	+3.003	-3.003	71.2	+4.984000000000001	-4.984000000000001	87.3	+6.111	-6.111
	2.25	2.25	2.25	18.0	+1.26	-1.26	42.7	+2.9890000000000003	-2.9890000000000003	64.5	+4.515000000000001	-4.515000000000001	80.4	+5.628	-5.628
	2.5	2.5	2.5	16.0	+1.12	-1.12	32.3	+2.2609999999999997	-2.2609999999999997	50.8	+3.556	-3.556	62.4	+4.368	-4.368
	2.75	2.75	2.75	14.3	+1.0010000000000001	-1.0010000000000001	26.9	+1.8829999999999998	-1.8829999999999998	45.0	+3.15	-3.15	53.4	+3.7380000000000004	-3.7380000000000004
	3.0	3.0	3.0	11.7	+0.819	-0.819	20.4	+1.428	-1.428	31.6	+2.212	-2.212	41.9	+2.933	-2.933
	3.25	3.25	3.25	8.87	+0.6208999999999999	-0.6208999999999999	18.1	+1.2670000000000001	-1.2670000000000001	26.4	+1.848	-1.848	31.7	+2.219	-2.219
	3.5	3.5	3.5	6.71	+0.46969999999999995	-0.46969999999999995	13.4	+0.9380000000000001	-0.9380000000000001	18.8	+1.316	-1.316	23.8	+1.6660000000000001	-1.6660000000000001
	3.75	3.75	3.75	5.25	+0.3675	-0.3675	10.3	+0.7210000000000001	-0.7210000000000001	15.3	+1.071	-1.071	18.3	+1.281	-1.281
	4.0	4.0	4.0	3.8	+0.266	-0.266	6.91	+0.48369999999999996	-0.48369999999999996	10.5	+0.735	-0.735	13.2	+0.924	-0.924
	4.5	4.5	4.5	1.84	+0.1288	-0.1288	3.02	+0.2114	-0.2114	4.2	+0.29400000000000004	-0.29400000000000004	5.99	+0.4193	-0.4193
	5.0	5.0	5.0	0.324	+0.022680000000000002	-0.022680000000000002	0.501	+0.03507	-0.03507	0.743	+0.05201	-0.05201	1.2	+0.084	-0.084
