Subthreshold antiproton production in pA, dA and aA reactions;;;;;
Sugaya, et al. 1998;;;;;
;;;;;
p + C -> pbar +X ;;;;;
CS is d sigma / d p / d Omega;;;;;
;;;;;
GeV;deg;GeV;mu b /GeV;;Quadratic sum
E_p (tot);theta;p;CS;stat;sys
5;5.1;1;0.451;0.039;16
5;5.1;1.5;0.663;0.067;16
5;5.1;2;0.366;0.037;16
5;5.1;2.5;0.0619;0.0071;16
4;5.1;1;0.04;0.0048;16
4;5.1;1.5;0.0248;0.0025;16
4;5.1;2;0.00118;0.00045;16
3.5;5.1;1;0.00138;0.0004;16
3.5;5.1;1.5;0.000941;0.000234;16
12;5.1;1;53.4;0.6;16
12;5.1;1.5;173;1;16
12;5.1;2;273;1;16
12;5.1;2.5;279;1;16
