#
#    P. Capiluppi, et al,   doi 10.1016/0550-3213(74)90484-2
#
#
#           cross section CS in form   E d3 sigma / dp3     in mb/GeV^2
#
#
#           x is the Feynman variable
#           y is longitudinal rapidity, while y_lab = y_beam - y
#
#
#
#       Note: the point from line 62,63,64 have been multiplied by 0.1 to match fig. 5.11
#
#
#
#    sqrt(s)/GeV   pT/GeV        x             y_LAB         CS                       CS_err
##################################################################################################
     23.3          0.19          0.16          1.78          0.480                    0.110
     30.6          0.18          0.11          2.19          1.03                     0.15
     30.6          0.19          0.12          2.08          0.854                    0.150
     30.6          0.20          0.14          1.93          0.502                    0.073
     30.6          0.20          0.17          1.77          0.396                    0.047
     44.6          0.18          0.072         2.57          1.06                     0.13
     44.6          0.19          0.082         2.46          0.985                    0.130
     44.6          0.20          0.096         2.31          0.683                    0.099
     44.6          0.20          0.11          2.20          0.722                    0.097
     44.6          0.21          0.12          2.11          0.693                    0.082
     53.0          0.18          0.051         2.88          1.13                     0.14
     53.0          0.18          0.061         2.73          1.23                     0.14
     53.0          0.19          0.071         2.59          1.18                     0.14
     53.0          0.20          0.081         2.48          0.949                    0.100
     53.0          0.20          0.092         2.37          0.883                    0.140
     53.0          0.21          0.099         2.29          0.833                    0.110
     23.3          0.41          0.27          1.38          0.0693                   0.0166
     23.3          0.41          0.28          1.34          0.0846                   0.0222
     30.6          0.40          0.14          1.99          0.308                    0.15
     30.6          0.40          0.17          1.82          0.274                    0.150
     30.6          0.41          0.21          1.62          0.176                    0.073
     30.6          0.43          0.28          1.35          0.0660                   0.047
     30.6          0.39          0.31          1.23          0.0643                   0.15
     30.6          0.44          0.34          1.17          0.0339                   0.150
     30.6          0.44          0.35          1.13          0.0282                   0.073
     44.6          0.39          0.082         2.51          0.422                    0.110
     44.6          0.40          0.096         2.37          0.387                    0.052
     44.6          0.41          0.12          2.16          0.417                    0.055
     44.6          0.41          0.14          2.03          0.386                    0.045
     44.6          0.41          0.14          2.00          0.275                    0.040
     44.6          0.42          0.16          1.88          0.294                    0.041
     44.6          0.43          0.19          1.72          0.174                    0.025
     44.6          0.44          0.24          1.51          0.0907                   0.0190
     53.0          0.38          0.053         2.89          0.472                    0.120
     53.0          0.39          0.061         2.78          0.621                    0.100
     53.0          0.39          0.069         2.67          0.538                    0.100
     53.0          0.40          0.082         2.53          0.568                    0.053
     53.0          0.41          0.10          2.33          0.565                    0.062
     53.0          0.41          0.12          2.19          0.550                    0.073
     53.0          0.41          0.12          2.16          0.444                    0.047
     53.0          0.43          0.16          1.89          0.353                    0.032
     53.0          0.44          0.20          1.68          0.181                    0.019
     62.7          0.44          0.11          2.32          0.605                    0.074
     30.6          0.84          0.33          1.38          0.0145                    0.0045
     30.6          0.85          0.41          1.19          0.00796                    0.00270
     30.6          0.85          0.42          1.15          0.00434                    0.00180
     44.6          0.82          0.16          2.06          0.0638                    0.0150
     44.6          0.83          0.19          1.91          0.0443                    0.0057
     44.6          0.84          0.24          1.70          0.0242                    0.0044
     44.6          0.85          0.28          1.56          0.0178                    0.0026
     44.6          0.85          0.29          1.53          0.0161                    0.0026
     44.6          0.86          0.33          1.41          0.0125                    0.0019
     44.6          0.88          0.38          1.26          0.00633                   0.00130
     53.0          0.81          0.12          2.35          0.0987                    0.0140
     53.0          0.82          0.14          2.20          0.0728                    0.0110
     53.0          0.83          0.16          2.07          0.0661                    0.0069
     53.0          0.84          0.18          1.96          0.0575                    0.0090
     53.0          0.84          0.20          1.86          0.0414                    0.0071
     53.0          0.85          0.24          1.73          0.0421                    0.0056
     53.0          0.85          0.25          1.69          0.0275                    0.0042
     53.0          0.87          0.29          1.55          0.0194                    0.0023
     53.0          0.88          0.33          1.42          0.0130                    0.0016
     62.7          0.85          0.20          1.91          0.0671                    0.0083
     44.6          1.26          0.33          1.62          0.00192                   0.00054
     44.6          1.28          0.42          1.39          0.00059                   0.00018
     53.0          1.25          0.25          1.90          0.00409                   0.00085
     53.0          1.26          0.29          1.75          0.00278                   0.00056
     53.0          1.28          0.33          1.63          0.00249                   0.00041
     53.0          1.29          0.37          1.52          0.00152                   0.00029
