Path: /HepData/7934/d7-x1-y1
Invariant cross sections for inclusive P and PBAR production  in P P collisions at a centre-of-mass energy of 62.4 GeV with feed-down weak decay corrections NOT applied. There is an additional normalization uncertainty of 11 PCT
Location: T 15
RE : P P --> P X : P P --> PBAR X
SQRT(S) : 62.4 GeV
x : PT IN GEV
y : E*D3(SIG)/DP**3 IN MB/GEV**2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.65	0.6	0.7	0.463	+0.007	-0.007	+0.042	-0.042	0.309	+0.005	-0.005	+0.022	-0.022
	0.75	0.7	0.8	0.328	+0.005	-0.005	+0.03	-0.03	0.219	+0.004	-0.004	+0.015	-0.015
	0.85	0.8	0.9	0.249	+0.004	-0.004	+0.022	-0.022	0.159	+0.003	-0.003	+0.011	-0.011
	0.95	0.9	1.0	0.169	+0.003	-0.003	+0.015	-0.015	0.11	+0.002	-0.002	+0.008	-0.008
	1.05	1.0	1.1	0.12	+0.003	-0.003	+0.011	-0.011	0.075	+0.0018	-0.0018	+0.0053	-0.0053
	1.15	1.1	1.2	0.0812	+0.0021	-0.0021	+0.0073	-0.0073	0.0495	+0.0014	-0.0014	+0.0035	-0.0035
	1.25	1.2	1.3	0.0581	+0.0017	-0.0017	+0.0052	-0.0052	0.0332	+0.0011	-0.0011	+0.0023	-0.0023
	1.35	1.3	1.4	0.0395	+0.0014	-0.0014	+0.0036	-0.0036	0.0237	+9.0E-4	-9.0E-4	+0.0017	-0.0017
	1.45	1.4	1.5	0.0255	+0.001	-0.001	+0.0023	-0.0023	0.0153	+7.0E-4	-7.0E-4	+0.0011	-0.0011
	1.55	1.5	1.6	0.0184	+8.0E-4	-8.0E-4	+0.0017	-0.0017	0.0107	+6.0E-4	-6.0E-4	+8.0E-4	-8.0E-4
	1.65	1.6	1.7	0.0137	+7.0E-4	-7.0E-4	+0.0012	-0.0012	0.00703	+4.7E-4	-4.7E-4	+4.9E-4	-4.9E-4
	1.75	1.7	1.8	0.00931	+5.8E-4	-5.8E-4	+8.4E-4	-8.4E-4	0.00449	+3.7E-4	-3.7E-4	+3.1E-4	-3.1E-4
	1.85	1.8	1.9	0.0059	+4.4E-4	-4.4E-4	+5.3E-4	-5.3E-4	0.00339	+3.4E-4	-3.4E-4	+2.4E-4	-2.4E-4
	1.95	1.9	2.0	0.00402	+3.6E-4	-3.6E-4	+3.6E-4	-3.6E-4	0.00212	+2.4E-4	-2.4E-4	+1.5E-4	-1.5E-4
	2.05	2.0	2.1	0.00311	+3.1E-4	-3.1E-4	+2.8E-4	-2.8E-4	0.00158	+2.2E-4	-2.2E-4	+1.1E-4	-1.1E-4
	2.15	2.1	2.2	0.00199	+2.5E-4	-2.5E-4	+1.8E-4	-1.8E-4	0.00104	+1.7E-4	-1.7E-4	+7.0E-5	-7.0E-5
	2.25	2.2	2.3	0.00137	+2.1E-4	-2.1E-4	+1.2E-4	-1.2E-4	6.99E-4	+1.5E-4	-1.5E-4	+4.9E-5	-4.9E-5
	2.35	2.3	2.4	8.94E-4	+1.5E-4	-1.5E-4	+8.0E-5	-8.0E-5	5.9E-4	+1.3E-4	-1.3E-4	+4.1E-5	-4.1E-5
	2.45	2.4	2.5	6.34E-4	+1.3E-4	-1.3E-4	+5.7E-5	-5.7E-5	3.13E-4	+1.1E-4	-1.1E-4	+2.2E-5	-2.2E-5
	2.55	2.5	2.6	6.33E-4	+1.4E-4	-1.4E-4	+5.7E-5	-5.7E-5	2.43E-4	+8.3E-5	-8.3E-5	+1.7E-5	-1.7E-5
	2.65	2.6	2.7	4.56E-4	+1.2E-4	-1.2E-4	+4.1E-5	-4.1E-5	1.8E-4	+7.9E-5	-7.9E-5	+1.3E-5	-1.3E-5
	2.75	2.7	2.8	4.11E-4	+1.1E-4	-1.1E-4	+3.7E-5	-3.7E-5	1.74E-4	+7.5E-5	-7.5E-5	+1.2E-5	-1.2E-5
	2.85	2.8	2.9	2.4E-4	+9.5E-5	-9.5E-5	+2.2E-5	-2.2E-5	2.39E-4	+9.1E-5	-9.1E-5	+1.7E-5	-1.7E-5
	2.95	2.9	3.0	1.63E-4	+6.6E-5	-6.6E-5	+1.5E-5	-1.5E-5	6.57E-5	+5.0E-5	-5.0E-5	+4.7E-6	-4.7E-6
	3.1	3.0	3.2	9.65E-5	+3.7E-5	-3.7E-5	+8.9E-6	-8.9E-6	7.07E-5	+2.8E-5	-2.8E-5	+5.1E-6	-5.1E-6
	3.3	3.2	3.4	9.05E-5	+4.1E-5	-4.1E-5	+8.5E-6	-8.5E-6	4.14E-5	+3.2E-5	-3.2E-5	+3.1E-6	-3.1E-6
	3.5	3.4	3.6	2.13E-5	+1.9E-5	-1.9E-5	+2.0E-6	-2.0E-6	5.21E-5	+3.2E-5	-3.2E-5	+4.0E-6	-4.0E-6

