#     kin energy/GeV   Total pbar D XS/mb
                0.01              831.764
     0.0125892541179        743.601449286
     0.0158489319246         669.18739079
     0.0199526231497         605.43436283
     0.0251188643151        549.775924054
     0.0316227766017        500.074134537
     0.0398107170553        454.784031603
     0.0501187233627        413.012556454
      0.063095734448        374.212509128
     0.0794328234724        339.342276168
                 0.1        310.204248934
      0.125892541179         287.25202966
      0.158489319246        268.073467366
      0.199526231497         250.29260761
      0.251188643151        233.885484797
      0.316227766017        220.499012722
      0.398107170553        210.834928583
      0.501187233627        203.004496161
       0.63095734448        194.864220304
      0.794328234724        185.482955608
                 1.0        174.964285853
       1.25892541179        163.645199337
       1.58489319246        152.430693298
       1.99526231497        142.145690196
       2.51188643151        133.063932569
       3.16227766017        125.061063299
       3.98107170553         118.03276183
       5.01187233627        111.952214177
        6.3095734448        106.802908638
       7.94328234724        102.450344513
                10.0        98.6671213529
       12.5892541179         95.284137293
       15.8489319246        92.2685873072
       19.9526231497        89.6195723217
       25.1188643151        87.3403004168
       31.6227766017        85.4383546612
       39.8107170554        83.9078851502
       50.1187233627        82.6863614452
        63.095734448        81.7025233511
       79.4328234724        80.8849079901
               100.0        80.1605332478
       125.892541179        79.5010472861
       158.489319246        79.0455040285
       199.526231497        78.9652779777
       251.188643151        79.2710703564
       316.227766017        79.8141706727
       398.107170554        80.4554875506
       501.187233627        81.1236392341
        630.95734448        81.7661228122
       794.328234724        82.4025903236
              1000.0        83.1277780082
       1258.92541179        84.0054116302
       1584.89319246        84.9494682513
       1995.26231497        85.8386789058
       2511.88643151        86.7095710758
       3162.27766017         87.765016191
       3981.07170554          89.15765823
       5011.87233627        90.7745236166
        6309.5734448        92.4308201865
       7943.28234724        94.0571603236
             10000.0        95.7104157963
       12589.2541179        97.4415492062
       15848.9319246        99.2406952605
       19952.6231497        101.081359282
       25118.8643151         102.94916184
       31622.7766017        104.843045005
       39810.7170554        106.765149722
       50118.7233627        108.728578091
        63095.734448        110.748153652
       79432.8234724        112.793437955
            100000.0        114.784532405
       125892.541179        116.704648597
       158489.319246        118.823929888
       199526.231497        121.492074504
       251188.643151         124.75308508
       316227.766017        128.309468048
       398107.170554        131.892252158
       501187.233627        135.520769834
        630957.34448        139.295385052
       794328.234724        143.248340444
           1000000.0         147.33353129
       1258925.41179        151.497664327
       1584893.19246        155.690466855
       1995262.31497        159.865666272
       2511886.43151        164.140990826
       3162277.66017        168.820566871
       3981071.70554        174.166705577
       5011872.33627        180.124492124
        6309573.4448         186.53661632
       7943282.34724        193.135725849
          10000000.0        199.525733358
