####################################################
#
# AMS-02 pbar/p ratio and pbar flux
#
# Taken from
# Official AMS-02 (paper draft)
#
####################################################
#
# Column 1: Rigidity [GV] from
# Column 2: Rigidity [GV] to
# Column 3: Number of antiprotons
# Column 4: pbar/p ratio
# Column 5: sigma stat
# Column 6: sigma sys (on ratio)
# Column 7: sigma sys (on folded acceptance)
# Column 8: sigma sys (on Rigidity scale)
# Column 9: sigma sys (total)
# Column10: Factor (for columns 3-9)
#
####################################################
#
# Column11: Antiproton flux in m-2 sr-1 s-1 GV-1
# Column12: sigma stat
# Column13: sigma sys
# Column14: Factor (for columns 11-13)
#
#
#################################################################################################################################
#                                                                                           #                                   #
# R1     R2      N         pbar/p   stat     N sys    A sys    R sys    sys     factor pbar #  Phi      stat     sys      factor#
#################################################################################################################################
1.00     1.16     21       1.02     0.23     0.07     0.05     0        0.08     1e-5          5.94     1.31     0.58     1e-3
1.16     1.33     74       8.93     1.09     0.52     0.41     0        0.66     1e-6          5.57     0.68     0.51     1e-3
1.33     1.51     233      1.59     0.11     0.05     0.07     0        0.09     1e-5          9.75     0.68     0.68     1e-3
1.51     1.71     502      1.83     0.09     0.05     0.08     0        0.09     1e-5          1.06     0.05     0.07     1e-2
1.71     1.92     888      2.33     0.1      0.06     0.1      0        0.12     1e-5          1.25     0.05     0.08     1e-2
1.92     2.15     1449     2.90     0.1      0.07     0.12     0        0.14     1e-5          1.40     0.05     0.08     1e-2
2.15     2.40     2192     3.50     0.11     0.08     0.15     0        0.17     1e-5          1.50     0.05     0.09     1e-2
2.40     2.67     3366     4.36     0.11     0.08     0.18     0        0.20     1e-5          1.64     0.04     0.09     1e-2
2.67     2.97     4474     5.05     0.12     0.09     0.21     0        0.23     1e-5          1.64     0.04     0.09     1e-2
2.97     3.29     6028     6.07     0.13     0.1      0.25     0        0.27     1e-5          1.69     0.04     0.09     1e-2
3.29     3.64     7321     7.05     0.14     0.1      0.28     0        0.30     1e-5          1.67     0.03     0.09     1e-2
3.64     4.02     8592     7.96     0.15     0.06     0.32     0        0.32     1e-5          1.59     0.03     0.08     1e-2
4.02     4.43     1932     9.31     0.21     0.08     0.37     0        0.37     1e-5          1.56     0.04     0.08     1e-2
4.43     4.88     3083     1.03     0.02     0.01     0.04     0        0.04     1e-4          1.43     0.03     0.07     1e-2
4.88     5.37     3880     1.07     0.02     0        0.04     0        0.04     1e-4          1.23     0.02     0.06     1e-2
5.37     5.90     4780     1.19     0.02     0        0.05     0        0.05     1e-4          1.12     0.02     0.05     1e-2
5.90     6.47     5472     1.27     0.02     0        0.05     0        0.05     1e-4          9.80     0.13     0.45     1e-3
6.47     7.09     6538     1.38     0.02     0        0.05     0        0.05     1e-4          8.69     0.11     0.39     1e-3
7.09     7.76     7369     1.49     0.02     0.01     0.05     0        0.05     1e-4          7.59     0.09     0.34     1e-3
7.76     8.48     7818     1.59     0.02     0.01     0.06     0        0.06     1e-4          6.54     0.08     0.29     1e-3
8.48     9.26     7821     1.64     0.02     0.01     0.06     0        0.06     1e-4          5.46     0.06     0.24     1e-3
9.26     10.1     20382    1.74     0.01     0.01     0.06     0        0.06     1e-4          4.67     0.03     0.20     1e-3
10.1     11.0     19445    1.83     0.01     0.01     0.06     0        0.07     1e-4          3.96     0.03     0.17     1e-3
11.0     12.0     18769    1.86     0.01     0.01     0.06     0        0.07     1e-4          3.23     0.02     0.14     1e-3
12.0     13.0     16372    1.89     0.02     0.01     0.06     0        0.07     1e-4          2.65     0.02     0.11     1e-3
13.0     14.1     16076    1.96     0.02     0.02     0.07     0        0.07     1e-4          2.23     0.02     0.09     1e-3
14.1     15.3     15578    2.02     0.02     0.02     0.07     0        0.07     1e-4          1.85     0.02     0.08     1e-3
15.3     16.6     14734    2.02     0.02     0.02     0.07     0        0.07     1e-4          1.49     0.01     0.06     1e-3
16.6     18.0     15816    2.00     0.02     0.02     0.06     0        0.07     1e-4          1.19     0.01     0.05     1e-3
18.0     19.5     15049    1.99     0.02     0.02     0.06     0        0.06     1e-4          9.53     0.08     0.37     1e-4
21.1     22.8     13511    2.02     0.02     0.02     0.06     0        0.06     1e-4          6.33     0.06     0.23     1e-4
22.8     24.7     12943    1.99     0.02     0.02     0.05     0        0.06     1e-4          5.02     0.05     0.18     1e-4
24.7     26.7     11723    2.02     0.02     0.02     0.05     0        0.05     1e-4          4.11     0.04     0.14     1e-4
26.7     28.8     10411    2.02     0.02     0.02     0.05     0        0.05     1e-4          3.32     0.04     0.11     1e-4
28.8     31.1     9508     2.02     0.02     0.02     0.04     0        0.05     1e-4          2.68     0.03     0.08     1e-4
31.1     33.5     7876     1.92     0.02     0.02     0.04     0        0.04     1e-4          2.07     0.03     0.06     1e-4
