# Helium ATIC02
#
# taken from: DOI: 10.3103/S1062873809050098
#
#
# Column  1: Energy GeV/n
# Column  2: Flux (m-2 s-1 sr-1 GeV/n-1)
# Column  3: Error
#
# GV        Flux              Error
############################################################################
#
49.2         1.730000e-1      0.002
77.9         5.140000e-2      0.0003
123          1.520000e-2      0.0001
196          4.600000e-3      0.00003
310          1.410000e-3      0.00001
492          4.340000e-4      0.000005
779          1.320000e-4      0.000002
1230         3.890000e-5      0.0000001
1960         1.200000e-5      0.0000004
3100         3.920000e-6      0.00000016
4920         1.250000e-6      0.00000009
7790         4.140000e-7      0.000000032
12300        1.350000e-7      0.000000016
19600        3.280000e-8      0.0000000061
31000        9.060000e-9      0.00000000259
#
#
#
# EoF
