# proton ATIC02
#
# taken from: DOI: 10.3103/S1062873809050098
#
#
# Column  1: Energy GeV
# Column  2: Flux (m-2 s-1 sr-1 GeV-1)
# Column  3: Error
#
# GV        Flux              Error
############################################################################
#
49.2      3.210000e-1         0.003    
77.9      8.900000e-2         0.0005    
123       2.500000e-2         0.0001
196       7.070000e-3         0.00005
310       2.010000e-3         0.00002
492       5.950000e-4         0.000007
779       1.780000e-4         0.000003
1230      5.240000e-5         0.0000014    
1960      1.580000e-5         0.0000005    
3100      4.830000e-6         0.00000023    
4920      1.400000e-6         0.0000001    
7790      4.230000e-7         0.000000039    
12300     1.370000e-7         0.000000015
19600     3.890000e-8         0.000000007
31000     9.160000e-9         0.00000000248
#
#
#
# EoF
