#########################################################################
# N.B.: line starting with # is omitted
#
# Content: 
# --------
# Differential production for 1H-BAR (anti-protons) from 4He CR
#   4He(Ekn) + H,He -> 1H-BAR(Ekn') + X
#
# Source: 
# -------
#	 - for 1H+H: Donato et al., ApJ 563, 172 (2001) usin Tan & Ng, Phys.Rev.D 26, 1179 (1982) parameterisation (fitted on data)
#	 - for 1H+He: Donato et al., ApJ 563, 172 (2001) using DTUNUC code (http://sroesler.home.cern.ch/sroesler)
#
# Format: USINE.V3 X-SECTIONS
# -------
#
#  1. First line contains
#     - Type: sigma (total X-sec) or dsigma (differential X-sec).
#     - Units allowed: 
#         i) if total X-section (Type=sigma): mb or cm2
#        ii) if differential X-section (Type=dsigma): mb/GeV or cm2/GeV (must be per Etot)
#     - Targets names: comma-separated list of element targets
#  
#  2. Second line contains energy grid definitions for which the X-sec are provided:
#     - EknMIN: minimal energy considered [GeV/n]
#     - EknMAX: maximum energy considered [GeV/n]
#     - nEkn: number of energy bins
#    N.B.1: Energy points are on a log-step grid (step = EknMAX/EknMIN^{1/(nEkn-1)}),
#           so that Ekn(bin) = EknMIN*step^bin. Hence, providing EknMIN, EknMIN,
#           and nEkn fully defines energy points for which we provide the X-sec below.
#    N.B.2: for differential X-sec (Type=dsigma), an energy grid for fragments must
#           also be provided, along with the order on which we loop on energies. 
#           The nEkn(proj)*nEkn(frag) X-sec can be ordered differently:
#     - Repeated loop value:
#         - Ekn(frag) kept constant and loop on Ekn(proj) => Loop = 1
#         - Ekn(proj) kept constant and loop on Ekn(frag) => Loop = 2
#
#  3. Group of lines/columns for a given reaction
#     - Reaction and isotopes involved (Targets names not repeated here)
#     - X-sec values for the reaction:
#         (i) As many columns as the number of targets
#              if Targets=H,He => first column is X-sec H, second column on He
#         (ii) As many lines as the number of energies
#              => nEkn(proj) for total X-sec, nEkn(proj)*nEkn(frag) for diff. X-sec
##########################################################################

#  Type  Unit     Targets
dsigma   mb/GeV   H,He

# EknMIN[GeV/n]   EknMAX[GeV/n]   nEk  (PROJECTILE GRID)
5.629632e+00      1.000000e+04    301

# EknMIN[GeV/n]   EknMAX[GeV/n]   nEkn  (FRAGMENT GRID)
1.000000e-01      1.000000e+02    151

# Repeated loop
1

1H -> 1H-bar
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 2.956861e-04
0.000000e+00 6.987152e-04
0.000000e+00 1.117197e-03
0.000000e+00 1.538322e-03
0.000000e+00 1.961938e-03
0.000000e+00 2.387894e-03
0.000000e+00 2.816034e-03
0.000000e+00 3.246206e-03
0.000000e+00 3.678265e-03
0.000000e+00 4.114345e-03
5.891009e-16 4.547588e-03
1.616593e-12 4.984556e-03
6.593814e-11 5.422853e-03
6.915644e-10 5.862396e-03
3.727671e-09 6.303104e-03
1.358491e-08 6.744923e-03
3.833628e-08 7.187824e-03
9.047165e-08 7.631829e-03
1.873025e-07 8.076959e-03
3.511249e-07 8.523296e-03
6.092050e-07 8.971036e-03
9.935152e-07 9.420358e-03
1.540043e-06 9.871470e-03
2.287476e-06 1.032476e-02
3.275162e-06 1.078066e-02
4.540394e-06 1.123975e-02
6.115246e-06 1.170258e-02
8.023294e-06 1.216996e-02
1.032505e-05 1.265169e-02
1.289277e-05 1.312269e-02
1.582522e-05 1.361037e-02
1.904654e-05 1.410734e-02
2.250850e-05 1.461540e-02
2.615066e-05 1.513648e-02
2.990312e-05 1.567275e-02
3.368980e-05 1.622671e-02
3.743200e-05 1.680130e-02
4.105204e-05 1.739983e-02
4.447665e-05 1.802584e-02
4.764002e-05 1.743515e-02
5.048630e-05 1.734354e-02
5.297148e-05 1.792266e-02
5.506467e-05 1.851217e-02
5.674863e-05 1.911204e-02
5.801970e-05 1.972224e-02
5.888715e-05 2.034275e-02
5.937213e-05 2.097344e-02
5.950610e-05 2.161416e-02
5.932912e-05 2.226486e-02
5.888790e-05 2.292536e-02
5.823377e-05 2.359540e-02
5.742081e-05 2.427487e-02
5.650388e-05 2.496348e-02
5.553704e-05 2.566088e-02
5.457200e-05 2.636687e-02
5.365694e-05 2.708103e-02
5.283554e-05 2.780291e-02
5.214631e-05 2.853212e-02
5.162207e-05 2.926816e-02
