#########################################################################
# N.B.: line starting with # is omitted
#
# Content: 
# --------
# Differential production for 1H-BAR (anti-protons) from 4He CR
#   4He(Ekn) + H,He -> 1H-BAR(Ekn') + X
#
# Source: 
# -------
#	 Donato et al., ApJ 563, 172 (2001) using DTUNUC code (http://sroesler.home.cern.ch/sroesler)
#
# Format: USINE.V3 X-SECTIONS
# -------
#
#  1. First line contains
#     - Type: sigma (total X-sec) or dsigma (differential X-sec).
#     - Units allowed: 
#         i) if total X-section (Type=sigma): mb or cm2
#        ii) if differential X-section (Type=dsigma): mb/GeV or cm2/GeV (must be per Etot)
#     - Targets names: comma-separated list of element targets
#  
#  2. Second line contains energy grid definitions for which the X-sec are provided:
#     - EknMIN: minimal energy considered [GeV/n]
#     - EknMAX: maximum energy considered [GeV/n]
#     - nEkn: number of energy bins
#    N.B.1: Energy points are on a log-step grid (step = EknMAX/EknMIN^{1/(nEkn-1)}),
#           so that Ekn(bin) = EknMIN*step^bin. Hence, providing EknMIN, EknMIN,
#           and nEkn fully defines energy points for which we provide the X-sec below.
#    N.B.2: for differential X-sec (Type=dsigma), an energy grid for fragments must
#           also be provided, along with the order on which we loop on energies. 
#           The nEkn(proj)*nEkn(frag) X-sec can be ordered differently:
#     - Repeated loop value:
#         - Ekn(frag) kept constant and loop on Ekn(proj) => Loop = 1
#         - Ekn(proj) kept constant and loop on Ekn(frag) => Loop = 2
#
#  3. Group of lines/columns for a given reaction
#     - Reaction and isotopes involved (Targets names not repeated here)
#     - X-sec values for the reaction:
#         (i) As many columns as the number of targets
#              if Targets=H,He => first column is X-sec H, second column on He
#         (ii) As many lines as the number of energies
#              => nEkn(proj) for total X-sec, nEkn(proj)*nEkn(frag) for diff. X-sec
##########################################################################

#  Type  Unit     Targets
dsigma   mb/GeV   H,He

# EknMIN[GeV/n]   EknMAX[GeV/n]   nEk  (PROJECTILE GRID)
5.629632e+00      1.000000e+04    301

# EknMIN[GeV/n]   EknMAX[GeV/n]   nEkn  (FRAGMENT GRID)
1.000000e-01      1.000000e+02    151

# Repeated loop
1

4He -> 1H-bar
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 2.631705e-04
0.000000e+00 3.468865e-03
0.000000e+00 4.094973e-03
0.000000e+00 4.749083e-03
0.000000e+00 5.414553e-03
0.000000e+00 6.091423e-03
0.000000e+00 6.779726e-03
0.000000e+00 7.479444e-03
3.735482e-06 8.190560e-03
3.012342e-05 8.913081e-03
9.661022e-05 9.646963e-03
1.634830e-04 1.039210e-02
2.306850e-04 1.114846e-02
3.001910e-04 1.193933e-02
3.658297e-04 1.269546e-02
4.336098e-04 1.348537e-02
5.014185e-04 1.428585e-02
5.691667e-04 1.509658e-02
6.367605e-04 1.591735e-02
7.040960e-04 1.674788e-02
7.710651e-04 1.758781e-02
8.375455e-04 1.843676e-02
9.034060e-04 1.929437e-02
9.685136e-04 2.016011e-02
1.032721e-03 2.103344e-02
1.095865e-03 2.191387e-02
1.157776e-03 2.280069e-02
1.218269e-03 2.369326e-02
1.277147e-03 2.459093e-02
1.334201e-03 2.549265e-02
1.389207e-03 2.639773e-02
1.441921e-03 2.730503e-02
1.493693e-03 2.824455e-02
1.539197e-03 2.912221e-02
1.583261e-03 3.002957e-02
1.623872e-03 3.093432e-02
1.660691e-03 3.183487e-02
1.693354e-03 3.272983e-02
1.721487e-03 3.361741e-02
1.744673e-03 3.449585e-02
1.762476e-03 3.536304e-02
1.774440e-03 3.621694e-02
1.780061e-03 3.705523e-02
1.569534e-03 3.757597e-02
1.470897e-03 3.853474e-02
1.513426e-03 3.988118e-02
1.556617e-03 4.125037e-02
1.600470e-03 4.264224e-02
1.644990e-03 4.405685e-02
1.690171e-03 4.549428e-02
1.736010e-03 4.695439e-02
1.782503e-03 4.843712e-02
1.829648e-03 4.994242e-02
1.877443e-03 5.147012e-02
1.925883e-03 5.302012e-02
1.974960e-03 5.459225e-02
2.024671e-03 5.618618e-02
