#########################################################################
# N.B.: line starting with # is omitted
#
# Content: 
# --------
# Differential production for 1H-BAR (anti-protons) from 4He CR
#   4He(Ekn) + H,He -> 1H-BAR(Ekn') + X
#
# Source: 
# -------
#	 Duperray et al., PRD 71, 083013 (2005) fit on data
#
# Format: USINE.V3 X-SECTIONS
# -------
#
#  1. First line contains
#     - Type: sigma (total X-sec) or dsigma (differential X-sec).
#     - Units allowed: 
#         i) if total X-section (Type=sigma): mb or cm2
#        ii) if differential X-section (Type=dsigma): mb/GeV or cm2/GeV (must be per Etot)
#     - Targets names: comma-separated list of element targets
#  
#  2. Second line contains energy grid definitions for which the X-sec are provided:
#     - EknMIN: minimal energy considered [GeV/n]
#     - EknMAX: maximum energy considered [GeV/n]
#     - nEkn: number of energy bins
#    N.B.1: Energy points are on a log-step grid (step = EknMAX/EknMIN^{1/(nEkn-1)}),
#           so that Ekn(bin) = EknMIN*step^bin. Hence, providing EknMIN, EknMIN,
#           and nEkn fully defines energy points for which we provide the X-sec below.
#    N.B.2: for differential X-sec (Type=dsigma), an energy grid for fragments must
#           also be provided, along with the order on which we loop on energies. 
#           The nEkn(proj)*nEkn(frag) X-sec can be ordered differently:
#     - Repeated loop value:
#         - Ekn(frag) kept constant and loop on Ekn(proj) => Loop = 1
#         - Ekn(proj) kept constant and loop on Ekn(frag) => Loop = 2
#
#  3. Group of lines/columns for a given reaction
#     - Reaction and isotopes involved (Targets names not repeated here)
#     - X-sec values for the reaction:
#         (i) As many columns as the number of targets
#              if Targets=H,He => first column is X-sec H, second column on He
#         (ii) As many lines as the number of energies
#              => nEkn(proj) for total X-sec, nEkn(proj)*nEkn(frag) for diff. X-sec
##########################################################################

#  Type  Unit     Targets
dsigma   mb/GeV   H,He

# EknMIN[GeV/n]   EknMAX[GeV/n]   nEk  (PROJECTILE GRID)
5.629632e+00      1.000000e+04    301

# EknMIN[GeV/n]   EknMAX[GeV/n]   nEkn  (FRAGMENT GRID)
1.000000e-01      1.000000e+02    151

# Repeated loop
1

4He -> 1H-bar
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
6.554004e-25 1.770525e-24
2.834486e-10 8.015970e-10
5.757757e-09 1.708707e-08
3.514148e-08 1.096824e-07
1.450921e-07 4.854617e-07
3.826655e-07 1.350804e-06
8.098185e-07 3.000309e-06
1.559277e-06 6.104672e-06
2.657832e-06 1.091788e-05
4.173802e-06 1.792112e-05
6.279901e-06 2.828009e-05
8.945285e-06 4.207545e-05
1.222150e-05 5.988124e-05
1.628968e-05 8.331256e-05
2.105705e-05 1.121070e-04
2.654909e-05 1.468453e-04
3.293300e-05 1.895123e-04
4.006774e-05 2.394041e-04
4.795195e-05 2.970389e-04
5.672327e-05 3.646699e-04
6.621487e-05 4.411450e-04
7.640346e-05 5.268722e-04
8.738746e-05 6.242494e-04
9.899457e-05 7.317075e-04
1.111864e-04 8.495409e-04
1.240210e-04 9.802096e-04
1.373383e-04 1.121784e-03
1.510905e-04 1.274421e-03
1.652951e-04 1.440547e-03
1.798177e-04 1.617973e-03
1.946072e-04 1.806742e-03
2.096452e-04 2.009186e-03
2.248309e-04 2.222943e-03
2.401141e-04 2.447944e-03
2.554454e-04 2.686361e-03
2.707612e-04 2.935750e-03
2.860153e-04 3.195954e-03
3.011337e-04 3.468956e-03
3.160900e-04 3.752324e-03
3.308446e-04 4.045830e-03
3.453049e-04 4.351241e-03
3.594793e-04 4.666195e-03
3.733355e-04 4.990412e-03
3.867684e-04 5.325426e-03
