#########################################################################
# N.B.: line starting with # is omitted
#
# Content: 
# --------
# Differential production for 1H-BAR (anti-protons) from 1H CR
#   1H(Ekn) + H,He -> 1H-BAR(Ekn') + X
#
# Source: 
# -------
#	 Duperray et al., PRD 71, 083013 (2005) fit on data
#
# Format: USINE.V3 X-SECTIONS
# -------
#
#  1. First line contains
#     - Type: sigma (total X-sec) or dsigma (differential X-sec).
#     - Units allowed: 
#         i) if total X-section (Type=sigma): mb or cm2
#        ii) if differential X-section (Type=dsigma): mb/GeV or cm2/GeV (must be per Etot)
#     - Targets names: comma-separated list of element targets
#  
#  2. Second line contains energy grid definitions for which the X-sec are provided:
#     - EknMIN: minimal energy considered [GeV/n]
#     - EknMAX: maximum energy considered [GeV/n]
#     - nEkn: number of energy bins
#    N.B.1: Energy points are on a log-step grid (step = EknMAX/EknMIN^{1/(nEkn-1)}),
#           so that Ekn(bin) = EknMIN*step^bin. Hence, providing EknMIN, EknMIN,
#           and nEkn fully defines energy points for which we provide the X-sec below.
#    N.B.2: for differential X-sec (Type=dsigma), an energy grid for fragments must
#           also be provided, along with the order on which we loop on energies. 
#           The nEkn(proj)*nEkn(frag) X-sec can be ordered differently:
#     - Repeated loop value:
#         - Ekn(frag) kept constant and loop on Ekn(proj) => Loop = 1
#         - Ekn(proj) kept constant and loop on Ekn(frag) => Loop = 2
#
#  3. Group of lines/columns for a given reaction
#     - Reaction and isotopes involved (Targets names not repeated here)
#     - X-sec values for the reaction:
#         (i) As many columns as the number of targets
#              if Targets=H,He => first column is X-sec H, second column on He
#         (ii) As many lines as the number of energies
#              => nEkn(proj) for total X-sec, nEkn(proj)*nEkn(frag) for diff. X-sec
##########################################################################

#  Type  Unit     Targets
dsigma   mb/GeV   H,He

# EknMIN[GeV/n]   EknMAX[GeV/n]   nEk  (PROJECTILE GRID)
5.629632e+00      1.000000e+04    301

# EknMIN[GeV/n]   EknMAX[GeV/n]   nEkn  (FRAGMENT GRID)
1.000000e-01      1.000000e+02    151

# Repeated loop
1

1H -> 1H-bar
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00
9.113958e-26 6.554004e-25
4.129087e-11 2.834486e-10
8.807629e-10 5.757757e-09
5.657468e-09 3.514148e-08
2.505731e-08 1.450921e-07
6.976963e-08 3.826655e-07
1.550726e-07 8.098185e-07
3.157381e-07 1.559277e-06
5.650654e-07 2.657832e-06
9.281576e-07 4.173802e-06
1.465662e-06 6.279901e-06
2.182120e-06 8.945285e-06
3.107690e-06 1.222150e-05
4.326680e-06 1.628968e-05
5.826059e-06 2.105705e-05
7.636601e-06 2.654909e-05
9.862242e-06 3.293300e-05
1.246718e-05 4.006774e-05
1.547921e-05 4.795195e-05
1.901667e-05 5.672327e-05
2.302051e-05 6.621487e-05
2.751303e-05 7.640346e-05
3.262052e-05 8.738746e-05
3.826222e-05 9.899457e-05
4.445462e-05 1.111864e-04
5.132769e-05 1.240210e-04
5.878174e-05 1.373383e-04
6.682619e-05 1.510905e-04
7.558954e-05 1.652951e-04
8.495841e-05 1.798177e-04
9.493630e-05 1.946072e-04
1.056471e-04 2.096452e-04
1.169680e-04 2.248309e-04
1.288966e-04 2.401141e-04
1.415486e-04 2.554454e-04
1.547967e-04 2.707612e-04
1.686339e-04 2.860153e-04
1.831660e-04 3.011337e-04
1.982659e-04 3.160900e-04
2.139229e-04 3.308446e-04
2.302314e-04 3.453049e-04
2.470679e-04 3.594793e-04
2.644185e-04 3.733355e-04
2.823656e-04 3.867684e-04
