Path: /HepData/6386/d1-x1-y1
Location: T 1
P(P=3) : 1.76 GeV
RE : P BE --> PBAR X
THETA(RF=LAB) : 188.0 Mrad
x : EKIN IN GEV
y : E*D3(SIG)/D3(P) IN NB/GEV**2
xdesc	x	xlow	xhigh	y	dy+	dy-	
	3.7	3.7	3.7	0.4	+0.148	-0.148
	3.9	3.9	3.9	2.3	+0.437	-0.437
	4.1	4.1	4.1	6.0	+1.14	-1.14
	4.37	4.37	4.37	23.8	+3.5700000000000003	-3.5700000000000003
	4.5	4.5	4.5	34.2	+5.130000000000001	-5.130000000000001
	4.7	4.7	4.7	77.5	+11.625	-11.625
	4.9	4.9	4.9	148.0	+22.2	-22.2
	5.1	5.1	5.1	219.0	+32.85	-32.85
	5.3	5.3	5.3	385.0	+57.75	-57.75
	5.5	5.5	5.5	559.0	+83.85	-83.85
	5.7	5.7	5.7	787.0	+118.05	-118.05
	5.9	5.9	5.9	1037.0	+155.54999999999998	-155.54999999999998
	6.1	6.1	6.1	1366.0	+204.9	-204.9
	6.4	6.4	6.4	2093.0	+313.95	-313.95
	6.8	6.8	6.8	3250.0	+487.5	-487.5
	7.2	7.2	7.2	4845.0	+726.75	-726.75
	7.7	7.7	7.7	8053.0	+1207.95	-1207.95
	8.2	8.2	8.2	11510.0	+1726.5	-1726.5
	8.7	8.7	8.7	14590.0	+2188.5	-2188.5
	9.2	9.2	9.2	19320.0	+2898.0	-2898.0

