Path: /HepData/1367/d6-x1-y1
Invariant cross section for ANTIPROTON production in P P collisions at SQRT(S)=200 GeV and rapidity 2.95
Location: F 2
RE : P P --> PBAR X
SQRT(S) : 200.0 GeV
SQRT(S) : 200.0 GeV
YRAP : 2.95
x : PT IN GEV
y : (1/(2*PI*PT)))*D2(SIG)/DPT/DYRAP IN MB/GEV**2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	0.825	0.8	0.85	0.1633	+0.0096	-0.0096	+0.0196	-0.0196
	0.875	0.85	0.9	0.1093	+0.0069	-0.0069	+0.0131	-0.0131
	0.925	0.9	0.95	0.07868	+0.00524	-0.00524	+0.00944	-0.00944
	0.975	0.95	1.0	0.06104	+0.00408	-0.00408	+0.00732	-0.00732
	1.048	1.0	1.1	0.0452	+0.00214	-0.00214	+0.00701	-0.00701
	1.148	1.1	1.2	0.023	+0.00131	-0.00131	+0.00357	-0.00357
	1.248	1.2	1.3	0.01332	+8.7E-4	-8.7E-4	+0.00207	-0.00207
	1.348	1.3	1.4	0.01034	+6.9E-4	-6.9E-4	+0.0016	-0.0016
	1.448	1.4	1.5	0.00533	+4.54E-4	-4.54E-4	+8.26E-4	-8.26E-4
	1.548	1.5	1.6	0.003654	+3.48E-4	-3.48E-4	+5.66E-4	-5.66E-4
	1.648	1.6	1.7	0.002312	+2.56E-4	-2.56E-4	+3.58E-4	-3.58E-4
	1.748	1.7	1.8	0.001154	+1.69E-4	-1.69E-4	+1.79E-4	-1.79E-4
	1.848	1.8	1.9	5.929E-4	+1.364E-4	-1.364E-4	+9.19E-5	-9.19E-5
	1.948	1.9	2.0	7.141E-4	+1.553E-4	-1.553E-4	+1.107E-4	-1.107E-4
	2.093	2.0	2.2	3.326E-4	+7.42E-5	-7.42E-5	+5.16E-5	-5.16E-5
	2.293	2.2	2.4	9.932E-5	+3.169E-5	-3.169E-5	+1.54E-5	-1.54E-5
	2.493	2.4	2.6	3.64E-5	+1.238E-5	-1.238E-5	+5.64E-6	-5.64E-6
	2.774	2.6	3.0	2.025E-5	+5.0E-6	-5.0E-6	+3.14E-6	-3.14E-6
	3.176	3.0	3.4	2.483E-6	+1.379E-6	-1.379E-6	+4.72E-7	-4.72E-7
	3.578	3.4	3.8	7.629E-7	+7.098E-7	-7.098E-7	+1.449E-7	-1.449E-7
	3.979	3.8	4.2	9.464E-7	+8.573E-7	-8.573E-7	+1.798E-7	-1.798E-7

