# NA49,          doi: 10.1140/epjc/s10052-009-1172-2
#
# p + p -> pbar + x
#
#   hyperon correction applied
#
#  p_p/GeV       pT/GeV        xF          inv_CS/(mb/GeV^2)   CS_stat in %
###############################################################################
   158           0.1           -0.05           0.563           6.71
   158           0.1           -0.025          0.590           4.28
   158           0.1           0.00            0.581           3.66
   158           0.1           0.025           0.545           3.67
   158           0.1           0.05            0.499           3.87
   158           0.1           0.075           0.489           4.24
   158           0.1           0.1             0.391           4.52
   158           0.1           0.125           0.355           4.98
   158           0.1           0.15            0.260           7.36
   158           0.1           0.2             0.194           7.09
   158           0.1           0.25            0.115           11.5
   158           0.1           0.30            0.074           18.1
   158           0.1           0.35            0.0418          18.9
   158           0.1           0.40            0.0173          55.1
   158           0.2           -0.05           0.508           6.15
   158           0.2           -0.025          0.505           3.55
   158           0.2           0.00            0.509           2.98
   158           0.2           0.025           0.518           2.92
   158           0.2           0.05            0.473           3.12
   158           0.2           0.075           0.405           3.69
   158           0.2           0.1             0.379           4.04
   158           0.2           0.125           0.300           4.49
   158           0.2           0.15            0.275           5.57
   158           0.2           0.2             0.183           7.15
   158           0.2           0.25            0.090           9.63
   158           0.2           0.30            0.0613          14.4
   158           0.3           -0.05           0.391           6.75
   158           0.3           -0.025          0.450           5.52
   158           0.3           0.00            0.450           3.88
   158           0.3           0.025           0.404           2.99
   158           0.3           0.05            0.401           2.79
   158           0.3           0.075           0.353           3.12
   158           0.3           0.1             0.320           3.56
   158           0.3           0.125           0.255           4.53
   158           0.3           0.15            0.199           5.84
   158           0.3           0.2             0.1654          4.69
   158           0.3           0.25            0.0941          8.96
   158           0.3           0.30            0.0429          14.7
   158           0.3           0.35            0.0270          13.8
   158           0.3           0.40            0.0137          29.5
   158           0.4           -0.05           0.287           7.61
   158           0.4           -0.025          0.338           6.23
   158           0.4           0.00            0.324           4.90
   158           0.4           0.025           0.311           3.61
   158           0.4           0.05            0.2848          3.17
   158           0.4           0.075           0.2918          3.38
   158           0.4           0.1             0.237           4.38
   158           0.4           0.125           0.203           4.98
