Path: /HepData/7934/d8-x1-y1
Invariant cross sections for inclusive P and PBAR production  in P P collisions at a centre-of-mass energy of 62.4 GeV with feed-down weak decay corrections applied. There is an additional normalization uncertainty of 11 PCT
Location: T 16
RE : P P --> P X : P P --> PBAR X
SQRT(S) : 62.4 GeV
x : PT IN GEV
y : E*D3(SIG)/DP**3 IN MB/GEV**2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.65	0.6	0.7	0.295	+0.004	-0.004	+0.066	-0.066	0.118	+0.002	-0.002	+0.065	-0.065
	0.75	0.7	0.8	0.238	+0.004	-0.004	+0.038	-0.038	0.12	+0.002	-0.002	+0.034	-0.034
	0.85	0.8	0.9	0.196	+0.004	-0.004	+0.025	-0.025	0.105	+0.002	-0.002	+0.019	-0.019
	0.95	0.9	1.0	0.14	+0.003	-0.003	+0.016	-0.016	0.0812	+0.0017	-0.0017	+0.011	-0.011
	1.05	1.0	1.1	0.103	+0.002	-0.002	+0.011	-0.011	0.0591	+0.0014	-0.0014	+0.0066	-0.0066
	1.15	1.1	1.2	0.0718	+0.0019	-0.0019	+0.0071	-0.0071	0.0407	+0.0011	-0.0011	+0.004	-0.004
	1.25	1.2	1.3	0.0523	+0.0015	-0.0015	+0.0051	-0.0051	0.0281	+9.0E-4	-9.0E-4	+0.0026	-0.0026
	1.35	1.3	1.4	0.036	+0.0012	-0.0012	+0.0034	-0.0034	0.0204	+8.0E-4	-8.0E-4	+0.0018	-0.0018
	1.45	1.4	1.5	0.0234	+9.0E-4	-9.0E-4	+0.0022	-0.0022	0.0133	+6.0E-4	-6.0E-4	+0.0011	-0.0011
	1.55	1.5	1.6	0.017	+8.0E-4	-8.0E-4	+0.0016	-0.0016	0.00942	+5.2E-4	-5.2E-4	+7.8E-4	-7.8E-4
	1.65	1.6	1.7	0.0127	+7.0E-4	-7.0E-4	+0.0012	-0.0012	0.00619	+4.1E-4	-4.1E-4	+5.1E-4	-5.1E-4
	1.75	1.7	1.8	0.00867	+5.4E-4	-5.4E-4	+8.1E-4	-8.1E-4	0.00397	+3.3E-4	-3.3E-4	+3.2E-4	-3.2E-4
	1.85	1.8	1.9	0.00551	+4.1E-4	-4.1E-4	+5.1E-4	-5.1E-4	0.003	+3.0E-4	-3.0E-4	+2.4E-4	-2.4E-4
	1.95	1.9	2.0	0.00376	+3.3E-4	-3.3E-4	+3.5E-4	-3.5E-4	0.00188	+2.2E-4	-2.2E-4	+1.5E-4	-1.5E-4
	2.05	2.0	2.1	0.00291	+2.9E-4	-2.9E-4	+2.7E-4	-2.7E-4	0.00141	+2.0E-4	-2.0E-4	+1.1E-4	-1.1E-4
	2.15	2.1	2.2	0.00186	+2.4E-4	-2.4E-4	+1.7E-4	-1.7E-4	9.24E-4	+1.5E-4	-1.5E-4	+7.4E-5	-7.4E-5
	2.25	2.2	2.3	0.00128	+2.0E-4	-2.0E-4	+1.2E-4	-1.2E-4	6.21E-4	+1.3E-4	-1.3E-4	+5.0E-5	-5.0E-5
	2.35	2.3	2.4	8.39E-4	+1.4E-4	-1.4E-4	+7.7E-5	-7.7E-5	5.25E-4	+1.2E-4	-1.2E-4	+4.2E-5	-4.2E-5
	2.45	2.4	2.5	5.95E-4	+1.2E-4	-1.2E-4	+5.5E-5	-5.5E-5	2.78E-4	+9.4E-5	-9.4E-5	+2.2E-5	-2.2E-5
	2.55	2.5	2.6	5.94E-4	+1.3E-4	-1.3E-4	+5.5E-5	-5.5E-5	2.16E-4	+7.4E-5	-7.4E-5	+1.7E-5	-1.7E-5
	2.65	2.6	2.7	4.28E-4	+1.1E-4	-1.1E-4	+3.9E-5	-3.9E-5	1.6E-4	+7.0E-5	-7.0E-5	+1.3E-5	-1.3E-5
	2.75	2.7	2.8	3.86E-4	+1.1E-4	-1.1E-4	+3.6E-5	-3.6E-5	1.55E-4	+6.6E-5	-6.6E-5	+1.2E-5	-1.2E-5
	2.85	2.8	2.9	2.25E-4	+8.9E-5	-8.9E-5	+2.1E-5	-2.1E-5	2.13E-4	+8.1E-5	-8.1E-5	+1.7E-5	-1.7E-5
	2.95	2.9	3.0	1.54E-4	+6.2E-5	-6.2E-5	+1.4E-5	-1.4E-5	5.85E-5	+4.4E-5	-4.4E-5	+4.7E-6	-4.7E-6
	3.1	3.0	3.2	9.06E-5	+3.4E-5	-3.4E-5	+8.5E-6	-8.5E-6	6.3E-5	+2.5E-5	-2.5E-5	+5.2E-6	-5.2E-6
	3.3	3.2	3.4	8.5E-5	+3.8E-5	-3.8E-5	+8.1E-6	-8.1E-6	3.69E-5	+2.8E-5	-2.8E-5	+3.1E-6	-3.1E-6
	3.5	3.4	3.6	2.0E-5	+1.7E-5	-1.7E-5	+2.0E-6	-2.0E-6	4.64E-5	+2.8E-5	-2.8E-5	+4.0E-6	-4.0E-6

