Path: /HepData/7934/d4-x1-y1
Invariant cross sections for inclusive P and PBAR production  in P P collisions at a centre-of-mass energy of 200 GeV with feed-down weak decay corrections applied. There is an additional normalization uncertainty of 9.7 PCT
Location: T 12
RE : P P --> P X : P P --> PBAR X
SQRT(S) : 200.0 GeV
x : PT IN GEV
y : E*D3(SIG)/DP**3 IN MB/GEV**2
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.55	0.5	0.6	0.593	+0.011	-0.011	+0.14	-0.14	0.456	+0.009	-0.009	+0.11	-0.11
	0.65	0.6	0.7	0.445	+0.008	-0.008	+0.094	-0.094	0.363	+0.007	-0.007	+0.078	-0.078
	0.75	0.7	0.8	0.347	+0.007	-0.007	+0.066	-0.066	0.287	+0.006	-0.006	+0.056	-0.056
	0.85	0.8	0.9	0.242	+0.005	-0.005	+0.042	-0.042	0.204	+0.004	-0.004	+0.036	-0.036
	0.95	0.9	1.0	0.18	+0.004	-0.004	+0.029	-0.029	0.144	+0.003	-0.003	+0.024	-0.024
	1.05	1.0	1.1	0.122	+0.003	-0.003	+0.018	-0.018	0.106	+0.002	-0.002	+0.016	-0.016
	1.15	1.1	1.2	0.0877	+0.002	-0.002	+0.012	-0.012	0.0748	+0.0016	-0.0016	+0.011	-0.011
	1.25	1.2	1.3	0.0646	+0.0016	-0.0016	+0.0084	-0.0084	0.0531	+0.0012	-0.0012	+0.0071	-0.0071
	1.35	1.3	1.4	0.0447	+0.0011	-0.0011	+0.0055	-0.0055	0.04	+9.0E-4	-9.0E-4	+0.0051	-0.0051
	1.45	1.4	1.5	0.0349	+9.0E-4	-9.0E-4	+0.0041	-0.0041	0.0272	+6.0E-4	-6.0E-4	+0.0033	-0.0033
	1.55	1.5	1.6	0.0245	+7.0E-4	-7.0E-4	+0.0027	-0.0027	0.0198	+5.0E-4	-5.0E-4	+0.0023	-0.0023
	1.65	1.6	1.7	0.0173	+5.0E-4	-5.0E-4	+0.0019	-0.0019	0.0145	+4.0E-4	-4.0E-4	+0.0016	-0.0016
	1.75	1.7	1.8	0.0128	+4.0E-4	-4.0E-4	+0.0013	-0.0013	0.0106	+3.0E-4	-3.0E-4	+0.0012	-0.0012
	1.85	1.8	1.9	0.00892	+2.7E-4	-2.7E-4	+8.9E-4	-8.9E-4	0.00742	+2.0E-4	-2.0E-4	+7.9E-4	-7.9E-4
	1.95	1.9	2.0	0.00695	+2.2E-4	-2.2E-4	+6.8E-4	-6.8E-4	0.00537	+1.5E-4	-1.5E-4	+5.6E-4	-5.6E-4
	2.05	2.0	2.1	0.00521	+1.8E-4	-1.8E-4	+4.9E-4	-4.9E-4	0.004	+1.2E-4	-1.2E-4	+4.0E-4	-4.0E-4
	2.15	2.1	2.2	0.00363	+1.3E-4	-1.3E-4	+3.4E-4	-3.4E-4	0.00284	+9.0E-5	-9.0E-5	+2.8E-4	-2.8E-4
	2.25	2.2	2.3	0.0031	+1.2E-4	-1.2E-4	+2.8E-4	-2.8E-4	0.0023	+7.0E-5	-7.0E-5	+2.2E-4	-2.2E-4
	2.35	2.3	2.4	0.0021	+8.0E-5	-8.0E-5	+1.9E-4	-1.9E-4	0.00167	+6.0E-5	-6.0E-5	+1.6E-4	-1.6E-4
	2.45	2.4	2.5	0.00144	+6.0E-5	-6.0E-5	+1.3E-4	-1.3E-4	0.00127	+4.0E-5	-4.0E-5	+1.2E-4	-1.2E-4
