# Antideuteron Source term for bbbar final states
#       extracted from https://arxiv.org/pdf/1306.4171.pdf
#
#       m_DM: 100 GeV
#
# x         dN/dx
##############################################
6.15606e-05          0.000290151
0.0001131606         0.00062559
0.0001611438         0.001044075
0.000222812          0.001604815
0.000346606          0.0021115
0.000555298          0.00280368
0.000934414          0.0034286
0.001453574          0.00411681
0.00209036           0.004552555
0.0035522            0.00485356
0.00569098           0.004898155
0.0105644            0.004594385
0.01643396           0.00407933
0.0255646            0.0034286
0.0382366            0.002512245
0.0588998            0.001695345
0.0822436            0.001133655
0.131763             0.00056571
0.1821874            0.0003238105
0.251908             0.00017227
0.28341              8.9988e-05
0.30657              5.3428e-05
0.334896             2.97542e-05
0.380494             1.44459e-05
0.440874             5.04595e-06
# EoF
