# LIS Flux Helium, taken from AMS-02, demodulated with force field 600 MeV
#
#
#Tn_He        Flux
##########################
0.001     4.32559e+06
0.00107978     3.87981e+06
0.00116591     3.47997e+06
0.00125893     3.12133e+06
0.00135936     2.79966e+06
0.0014678     2.51113e+06
0.00158489     2.25234e+06
0.00171133     2.02022e+06
0.00184785     1.81201e+06
0.00199526     1.62527e+06
0.00215443     1.45777e+06
0.00232631     1.30753e+06
0.00251189     1.17277e+06
0.00271227     1.0519e+06
0.00292864     943489
0.00316228     846248
0.00341455     759029
0.00368695     680797
0.00398107     610628
0.00429866     547690
0.00464159     491239
0.00501187     440604
0.0054117     395188
0.00584341     354453
0.00630957     317915
0.00681292     285143
0.00735642     255748
0.00794328     229382
0.00857696     205734
0.00926119     184523
0.01     165497
0.0107978     148433
0.0116591     133127
0.0125893     119398
0.0135936     107084
0.014678     96039.6
0.0158489     86133.2
0.0171133     77247.7
0.0184785     69278
0.0199526     62129.7
0.0215443     55718.1
0.0232631     49967.3
0.0251189     44809.2
0.0271227     40182.7
0.0292864     36033.1
0.0316228     32311.2
0.0341455     28972.9
0.0368695     25978.7
0.0398107     23293.1
0.0429866     20884.4
0.0464159     18723.9
0.0501187     16786.2
0.054117     15048.2
0.0584341     13489.4
0.0630957     12091.3
0.0681292     10837.4
0.0735642     9712.7
0.0794328     8704.02
0.0857696     7799.35
0.0926119     6987.99
0.1     6260.31
0.107978     5607.7
0.116591     5022.41
0.125893     4497.52
0.135936     4026.8
0.14678     3604.67
0.158489     3226.12
0.171133     2886.67
0.184785     2582.28
0.199526     2309.36
0.215443     2064.64
0.232631     1845.25
0.251189     1648.56
0.271227     1472.24
0.292864     1314.2
0.316228     1172.55
0.341455     1045.61
0.368695     931.874
0.398107     829.98
0.429866     738.715
0.464159     656.989
0.501187     583.823
0.54117     518.342
0.584341     459.759
0.630957     407.37
0.681292     360.541
0.735642     318.706
0.794328     281.356
0.857696     248.033
0.926119     218.328
1     191.872
1.07978     168.335
1.16591     147.419
1.25893     128.856
1.35936     112.404
1.4678     97.8482
1.58489     84.9908
1.71133     73.6555
1.84785     63.6824
1.99526     54.9269
2.15443     47.2582
2.32631     40.558
2.51189     34.719
2.71227     29.6442
2.92864     25.2459
3.16228     21.4448
3.41455     18.1694
3.68695     15.3554
3.98107     12.945
4.29866     10.8865
4.64159     9.13361
5.01187     7.64541
5.4117     6.38554
5.84341     5.32195
6.30957     4.42651
6.81292     3.6746
7.35642     3.04482
7.94328     2.51859
8.57696     2.07991
9.26119     1.715
10     1.41208
10.7978     1.1611
11.6591     0.953537
12.5893     0.782172
13.5936     0.640914
14.678     0.524645
15.8489     0.429074
17.1133     0.350617
18.4785     0.286283
19.9526     0.233588
21.5443     0.190467
23.2631     0.155213
25.1189     0.126416
27.1227     0.10291
29.2864     0.0837361
31.6228     0.0681066
34.1455     0.0553733
36.8695     0.0450052
39.8107     0.0365669
42.9866     0.0297023
46.4159     0.0241201
50.1187     0.0195825
54.117     0.015895
58.4341     0.0128995
63.0957     0.0104666
68.1292     0.00849124
73.5642     0.00688769
79.4328     0.00558623
85.7696     0.00453015
92.6119     0.00367333
100     0.00297828
107.978     0.00241453
116.591     0.00195733
125.893     0.0015866
135.936     0.00128599
146.78     0.00104229
158.489     0.000844716
171.133     0.000684564
184.785     0.000554751
199.526     0.000449537
215.443     0.000364265
232.631     0.000295158
251.189     0.000239283
271.227     0.00019556
292.864     0.000159827
316.228     0.000130622
341.455     0.000106755
368.695     8.72479e-05
398.107     7.13056e-05
429.866     5.82764e-05
464.159     4.76279e-05
501.187     3.89251e-05
541.17     3.18126e-05
584.341     2.59996e-05
630.957     2.12489e-05
681.292     1.73662e-05
735.642     1.4193e-05
794.328     1.15996e-05
857.696     9.48005e-06
926.119     7.74782e-06
1000     6.33211e-06
1079.78     5.17508e-06
1165.91     4.22947e-06
1258.93     3.45664e-06
1359.36     2.82503e-06
1467.8     2.30883e-06
1584.89     1.88695e-06
1711.33     1.54216e-06
1847.85     1.26037e-06
1995.26     1.03007e-06
2154.43     8.41851e-07
2326.31     6.88024e-07
2511.89     5.62306e-07
2712.27     4.59559e-07
2928.64     3.75586e-07
3162.28     3.06958e-07
3414.55     2.50869e-07
3686.95     2.05029e-07
3981.07     1.67565e-07
4298.66     1.36947e-07
4641.59     1.11924e-07
5011.87     9.14725e-08
5411.7     7.47583e-08
5843.41     6.10982e-08
6309.57     4.9934e-08
6812.92     4.08099e-08
7356.42     3.33529e-08
7943.28     2.72586e-08
8576.96     2.22778e-08
9261.19     1.82071e-08
10000     1.48802e-08
