#     kin energy/GeV   Total pbar D XS/mb
                0.01              99.0832
     0.0125892541179        97.1239896997
     0.0158489319246        95.4194253771
     0.0199526231497        93.4936780429
     0.0251188643151        91.0033600589
     0.0316227766017        87.7405006297
     0.0398107170553          83.64921645
     0.0501187233627        79.0810740419
      0.063095734448        74.4257043252
     0.0794328234724          69.87655232
                 0.1        65.4702688714
      0.125892541179        61.2466895375
      0.158489319246        57.2935466253
      0.199526231497         53.688128623
      0.251188643151        50.4769395106
      0.316227766017        47.6837619096
      0.398107170553        45.2902061478
      0.501187233627        43.1511542185
       0.63095734448        41.1066442556
      0.794328234724        38.8247827259
                 1.0        35.8672529875
       1.25892541179        32.1358380515
       1.58489319246        28.2790444564
       1.99526231497        24.8710318308
       2.51188643151         22.007336077
       3.16227766017        19.5117677126
       3.98107170553        17.2827867469
       5.01187233627        15.3515435834
        6.3095734448        13.7458527362
       7.94328234724          12.40733334
                10.0         11.231134885
       12.5892541179        10.1745370878
       15.8489319246        9.32986452023
       19.9526231497        8.78196502922
       25.1188643151        8.47296716375
       31.6227766017        8.23880651716
       39.8107170554         7.9631059198
       50.1187233627         7.6603744267
        63.095734448        7.37160513613
       79.4328234724        7.13070960864
               100.0        6.96618385707
       125.892541179        6.89357186772
       158.489319246        6.88401779766
       199.526231497        6.90059756735
       251.188643151        6.93292576403
       316.227766017        6.99695339742
       398.107170554        7.10212167633
       501.187233627         7.2240309218
        630.95734448        7.32907905301
       794.328234724        7.40723981735
              1000.0        7.47398752091
       1258.92541179        7.54374458041
       1584.89319246        7.61977069213
       1995.26231497        7.70299549732
       2511.88643151        7.80589330036
       3162.27766017        7.95340547058
       3981.07170554        8.16326704263
       5011.87233627         8.4143151695
        6309.5734448        8.67345198704
       7943.28234724        8.92626929037
             10000.0        9.18017566686
       12589.2541179        9.44325512689
       15848.9319246        9.71918026268
       19952.6231497        10.0105435755
       25118.8643151        10.3176375573
       31622.7766017        10.6380856203
       39810.7170554        10.9694795861
       50118.7233627        11.3108770453
        63095.734448        11.6617367305
       79432.8234724        12.0234466491
            100000.0        12.3996306725
       125892.541179        12.7936723806
       158489.319246        13.2062105413
       199526.231497        13.6370756222
       251188.643151         14.085582335
       316227.766017         14.550447036
       398107.170554        15.0303390457
       501187.233627        15.5245601847
        630957.34448        16.0326480593
       794328.234724        16.5576365685
           1000000.0        17.1066370077
       1258925.41179        17.6862699663
       1584893.19246        18.2975525807
       1995262.31497        18.9398195705
       2511886.43151        19.6113168201
       3162277.66017        20.3090137608
       3981071.70554        21.0301785023
       5011872.33627        21.7753206881
        6309573.4448        22.5459360744
       7943282.34724        23.3443546278
          10000000.0        24.1738388407
